0,Secounds,Amps,Volt
0,2306,15.44,11.7
0,2307,15.44,11.7
0,2308,15.44,11.7
0,2309,15.44,11.7
0,2309,15.44,11.7
0,2310,15.44,11.7
0,2311,15.44,11.7
0,2312,15.44,11.7
0,2313,15.44,11.7
0,2314,15.44,11.7
0,2315,15.44,11.7
0,2316,15.44,11.7
0,2317,15.44,11.7
0,2318,15.44,11.7
0,2319,15.44,11.7
0,2320,15.44,11.7
0,2321,15.44,11.7
0,2322,15.44,11.7
0,2323,15.44,11.7
0,2324,15.44,11.7
0,2325,15.44,11.7
0,2326,15.44,11.7
0,2327,15.44,11.7
0,2328,15.44,11.7
0,2329,15.44,11.7
0,2330,15.44,11.7
0,2331,15.44,11.7
0,2332,15.44,11.7
0,2333,15.43,11.7
0,2334,15.43,11.7
0,2335,15.43,11.7
0,2336,15.43,11.7
0,2337,15.43,11.7
0,2338,15.43,11.7
0,2339,15.43,11.7
0,2340,15.43,11.7
0,2341,15.43,11.7
0,2342,15.43,11.7
0,2343,15.43,11.7
0,2344,15.43,11.7
0,2345,15.43,11.7
0,2346,15.43,11.7
0,2347,15.43,11.7
0,2348,15.43,11.7
0,2349,15.43,11.7
0,2350,15.43,11.7
0,2351,15.43,11.7
0,2352,15.43,11.7
0,2353,15.43,11.7
0,2354,15.43,11.7
0,2355,15.43,11.7
0,2356,15.43,11.7
0,2357,15.43,11.7
0,2358,15.43,11.7
0,2359,15.43,11.7
0,2360,15.43,11.7
0,2361,15.43,11.7
0,2362,15.43,11.7
0,2363,15.43,11.7
0,2364,15.43,11.7
0,2365,15.43,11.7
0,2366,15.43,11.7
0,2367,15.43,11.7
0,2368,15.43,11.7
0,2369,15.43,11.7
0,2370,15.43,11.7
0,2371,15.43,11.7
0,2372,15.43,11.7
0,2373,15.43,11.7
0,2374,15.43,11.7
0,2375,15.43,11.7
0,2376,15.43,11.7
0,2377,15.43,11.7
0,2378,15.43,11.7
0,2379,15.43,11.7
0,2380,15.43,11.7
0,2381,15.43,11.7
0,2382,15.43,11.7
0,2383,15.43,11.7
0,2384,15.43,11.7
0,2385,15.43,11.7
0,2386,15.43,11.7
0,2387,15.43,11.7
0,2388,15.43,11.7
0,2389,15.43,11.7
0,2390,15.43,11.7
0,2391,15.43,11.7
0,2392,15.43,11.7
0,2393,15.42,11.7
0,2394,15.42,11.7
0,2395,15.42,11.7
0,2396,15.43,11.7
0,2397,15.43,11.7
0,2398,15.42,11.7
0,2399,15.42,11.7
0,2399,15.43,11.7
0,2400,15.42,11.7
0,2401,15.42,11.7
0,2402,15.42,11.7
0,2403,15.42,11.7
0,2404,15.42,11.7
0,2405,15.42,11.7
0,2406,15.42,11.7
0,2407,15.42,11.7
0,2408,15.42,11.7
0,2409,15.42,11.7
